start_time,end_time,activity,place,address,location,person,food,amountOfFood,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-05 0:00,2018-09-05 6:00,수면,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-05 6:00,2018-09-05 6:25,기타|샤워,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,낮음,보통
2018-09-05 6:25,2018-09-05 7:35,이동|출근,대중교통|지하철,서울시 송파구 오륜동,실외,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-05 7:35,2018-09-05 7:45,식사,카페|스타벅스,서울시 영등포구 여의도동,실내,데면한 관계|팀장,기타|커피,적음,간식,예,부정,높음,보통,보통
2018-09-05 7:45,2018-09-05 8:00,공부|독서,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-05 8:00,2018-09-05 8:20,업무|회의,사무실|회의실,서울시 영등포구 여의도동,실내,데면한 관계|팀원,/,/,/,예,보통,높음,보통,보통
2018-09-05 8:20,2018-09-05 8:40,식사,사무실,서울시 영등포구 여의도동,서울시 영등포구 여의도동,혼자,기타|빵,적음,아침,예,부정,높음,보통,보통
2018-09-05 8:40,2018-09-05 9:00,업무|거래 준비,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-05 9:00,2018-09-05 11:35,업무|거래,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-05 11:55,2018-09-05 12:10,식사,사무실,서울시 영등포구 여의도동,실내,혼자,일식|돈까스,보통,점심,예,보통,높음,보통,보통
2018-09-05 12:10,2018-09-05 12:15,이동,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,보통,높음,보통,낮음
2018-09-05 12:15,2018-09-05 12:10,이동,카페|스타벅스,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,보통,높음,보통,낮음
2018-09-05 12:10,2018-09-05 12:15,식사,사무실,서울시 영등포구 여의도동,실내,데면한 관계|동료,기타|커피,적음,간식,예,부정,높음,보통,보통
2018-09-05 12:15,2018-09-05 15:30,업무|거래,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-05 15:30,2018-09-05 16:10,업무|거래내역 정리,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,아니오,부정,높음,보통,낮음
2018-09-05 16:10,2018-09-05 16:35,업무|보고서 작성,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,낮음
2018-09-05 16:35,2018-09-05 17:10,업무|알고리즘 수정,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,부정,매우 높음,보통,낮음
2018-09-05 17:10,2018-09-05 17:15,이동,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,부정,높음,보통,낮음
2018-09-05 17:10,2018-09-05 17:50,업무|회의,사무실|회의실,서울시 영등포구 여의도동,실내,데면한 관계|팀원,/,/,/,예,보통,매우 높음,보통,낮음
2018-09-05 17:10,2018-09-05 17:10,이동,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,부정,높음,보통,낮음
2018-09-05 17:50,2018-09-05 19:00,업무|거래 준비,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,긍정,높음,보통,낮음
2018-09-05 19:00,2018-09-05 20:15,이동,기타|도보,서울시 영등포구 여의도동,실외,혼자,/,/,/,예,긍정,높음,높음,높음
2018-09-05 20:15,2018-09-05 22:25,식사|회식,식당,서울시 송파구 잠실동,실내,데면한 관계|팀원,한식|회,많음,저녁,예,긍정,높음,높음,높음
2018-09-05 22:25,2018-09-05 22:55,이동,대중교통|지하철,서울시 송파구 잠실동,실외,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-05 22:55,2018-09-05 23:05,청소,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-05 23:05,2018-09-05 23:20,수동적 여가|TV 시청,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-05 23:20,2018-09-05 23:30,기타|설거지,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-05 23:30,2018-09-05 23:45,기타|샤워,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,긍정,높음,낮음,보통
2018-09-05 23:45,2018-09-05 23:55,수동적 여가|스마트폰,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,긍정,매우 높음,보통,보통
2018-09-05 23:55,2018-09-05 23:59,수면,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
