start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humid
2017-12-26 00:00,2017-12-26 00:30,수동적 여가|온라인 게임,집,서울시 서대문구 신촌동,실내,친밀한 관계|성현,양식|과자,적음,야식,아니오,긍정,매우 높음,낮음,높음
2017-12-26 00:30,2017-12-26 01:30,수면,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,매우 높음
2017-12-26 01:30,2017-12-26 02:00,기타|기상,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,부정,높음,낮음,높음
2017-12-26 02:00,2017-12-26 02:30,식사,집,서울시 서대문구 신촌동,실내,혼자,양식|과자,적음,야식,아니오,보통,높음,낮음,매우 높음
2017-12-26 02:30,2017-12-26 03:00,수동적 여가|유튜브 시청,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,높음,낮음,높음
2017-12-26 03:00,2017-12-26 03:30,기타|통화,집,서울시 서대문구 신촌동,실내,친밀한 관계|Emily,/,/,/,아니오,긍정,높음,낮음,높음
2017-12-26 03:30,2017-12-26 06:00,취침,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,긍정,높음,낮음,높음
2017-12-26 06:00,2017-12-26 06:10,기상,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,매우 부정,매우 높음,낮음,높음
2017-12-26 06:10,2017-12-26 06:15,기타|샤워,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,매우 부정,높음,매우 낮음,높음
2017-12-26 06:15,2017-12-26 06:30,기타|출근 준비,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,매우 부정,높음,낮음,매우 높음
2017-12-26 06:30,2017-12-26 07:00,이동,대중교통|버스,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,부정,매우 높음,낮음,높음
2017-12-26 07:00,2017-12-26 07:30,식사,식당,서울시 종로구 청진동,실내,혼자,한식|김밥,적음,아침,아니오,보통,높음,낮음,보통
2017-12-26 07:30,2017-12-26 08:00,업무|뉴스 보기,사무실,서울시 종로구 청진동,실내,친밀한 관계|상무님,/,/,/,아니오,부정,높음,낮음,높음
2017-12-26 08:00,2017-12-26 08:10,업무|새로운 직원과 인사,사무실,서울시 종로구 청진동,실내,데면한 관계|새로운 직원,/,/,/,아니오,보통,높음,매우 낮음,보통
2017-12-26 08:10,2017-12-26 08:40,업무|회의,사무실,서울시 종로구 청진동,실내,친밀한 관계|전무님,/,/,/,아니오,부정,매우 높음,매우 낮음,보통
2017-12-26 08:40,2017-12-26 08:55,업무|거래 준비,사무실,서울시 종로구 청진동,실내,혼자,양식|젤리,적음,간식,아니오,부정,높음,낮음,보통
2017-12-26 08:55,2017-12-26 09:30,업무|거래,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,아니오,부정,매우 높음,매우 낮음,높음
2017-12-26 09:30,2017-12-26 09:40,업무|업무 보고,사무실,서울시 종로구 청진동,실내,데면한 관계|Cynthia,/,/,/,아니오,매우 부정,매우 높음,매우 낮음,높음
2017-12-26 09:40,2017-12-26 10:30,업무|거래,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,예,매우 부정,높음,매우 낮음,높음
2017-12-26 10:30,2017-12-26 10:40,기타|통화,사무실,서울시 종로구 청진동,실내,친밀한 관계|브로커,/,/,/,예,보통,높음,매우 낮음,보통
2017-12-26 10:40,2017-12-26 11:00,업무|거래,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,예,보통,높음,낮음,보통
2017-12-26 11:00,2017-12-26 11:30,업무|OJT,사무실,서울시 종로구 청진동,실내,데면한 관계|새로운 직원,/,/,/,예,보통,매우 높음,낮음,높음
2017-12-26 11:30,2017-12-26 12:00,식사,사무실,서울시 종로구 청진동,실내,혼자,한식|도시락,많음,중식,아니오,긍정,높음,보통,매우 높음
2017-12-26 12:00,2017-12-26 12:10,기타|양치,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,아니오,긍정,높음,낮음,높음
2017-12-26 12:10,2017-12-26 12:20,기타|흡연,공원,서울시 종로구 청진동,실외,친밀한 관계|동료 직원,/,/,/,아니오,매우 긍정,매우 높음,낮음,매우 높음
2017-12-26 12:20,2017-12-26 13:00,업무|거래,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,아니오,부정,높음,낮음,매우 높음
2017-12-26 13:00,2017-12-26 13:30,업무|업무 보고,사무실,서울시 종로구 청진동,실내,친밀한 관계|전무님,/,/,/,아니오,부정,매우 높음,낮음,높음
2017-12-26 13:30,2017-12-26 14:30,업무|거래,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,아니오,부정,높음,매우 낮음,보통
2017-12-26 14:30,2017-12-26 14:45,업무|회의,사무실,서울시 종로구 청진동,실내,친밀한 관계|세일즈,/,/,/,예,부정,높음,낮음,높음
2017-12-26 14:45,2017-12-26 15:30,업무|거래,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,예,보통,매우 높음,낮음,보통
2017-12-26 15:30,2017-12-26 16:00,업무|거래 정리,사무실,서울시 종로구 청진동,실내,데면한 관계|새로운 직원,/,/,/,예,보통,높음,낮음,보통
2017-12-26 16:00,2017-12-26 16:10,기타|흡연,공원,서울시 종로구 청진동,실외,친밀한 관계|동료 직원,/,/,/,예,보통,높음,보통,높음
2017-12-26 16:10,2017-12-26 17:00,업무|거래 정리,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,예,보통,높음,낮음,매우 높음
2017-12-26 17:00,2017-12-26 17:20,식사,사무실,서울시 종로구 청진동,실내,혼자,양식|아이스크림,적음,간식,아니오,긍정,높음,낮음,높음
2017-12-26 17:20,2017-12-26 18:00,업무|회의,사무실,서울시 종로구 청진동,실내,친밀한 관계|동료 직원,/,/,/,아니오,긍정,매우 높음,낮음,보통
2017-12-26 18:00,2017-12-26 18:30,이동,대중교통|버스,서울시 종로구 청진동,실외,혼자,/,/,/,아니오,매우 긍정,매우 높음,낮음,낮음
2017-12-26 18:30,2017-12-26 19:00,청소,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,높음,낮음,낮음
2017-12-26 19:00,2017-12-26 21:00,수면,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,보통,매우 낮음
2017-12-26 21:00,2017-12-26 21:20,기타|기상,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,낮음,매우 낮음
2017-12-26 21:20,2017-12-26 23:59,수동적 여가|온라인 게임,집,서울시 서대문구 신촌동,실내,친밀한 관계|건희,/,/,/,예,긍정,낮음,매우 낮음,낮음
