start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity,,,,,,,,,
2018-09-26 6:00,2018-09-26 7:00,수면,집,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-09-26 7:00,2018-09-26 7:20,기타,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-09-26 7:30,2018-09-26 8:00,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-09-26 8:00,2018-09-26 8:20,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-09-26 8:20,2018-09-26 8:40,식사,집,서울시 서대문구 연희동,실내,혼자,양식 | steak,적음,아침,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 8:40,2018-09-26 8:50,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 8:50,2018-09-26 9:20,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 9:22,2018-09-26 9:34,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-09-26 9:40,2018-09-26 9:55,식사,학교,서울시 서대문구 연희동,실내,혼자,간식,적음,간식,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-09-26 10:00,2018-09-26 10:30,공부,학교|공D605,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-09-26 10:30,2018-09-26 11:00,공부,학교|공D605,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 11:00,2018-09-26 11:11,이동,학교,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 11:13,2018-09-26 11:55,공부,학교|공D504,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 12:00,2018-09-26 12:11,이동,학교,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 12:14,2018-09-26 12:55,공부,학교|위B09,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 12:59,2018-09-26 13:44,식사,식당,서울시 서대문구 연희동,실내,혼자,양식 | spaghetti pasta,적음,점식,예,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 13:45,2018-09-26 14:27,식사,식당,서울시 서대문구 연희동,실내,혼자,양식 | spaghetti pasta,적음,점식,예,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 14:27,2018-09-26 14:44,식사,식당,서울시 서대문구 연희동,실내,혼자,양식 | spaghetti pasta,적음,점식,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-26 14:50,2018-09-2614:55,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-09-26 14:55,2018-09-26 15:40,공부,카페,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,높음,높음,높음,,,,,,,,,
2018-09-26 15:40,2018-09-26 16:50,공부,카페,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,높음,높음,높음,,,,,,,,,
2018-09-26 17:00,2018-09-26 17:30,식사,카페,서울시 서대문구 연희동,실내,혼자,간식,적음,간식,아니오,보통,높음,높음,높음,,,,,,,,,
2018-09-26 17:30,2018-09-26 18:00,이동,야외,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음,,,,,,,,,
2018-09-26 18:10,2018-09-26 18:50,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음,,,,,,,,,
2018-09-26 18:50,2018-09-26 19:50,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,높음,높음,높음,,,,,,,,,
2018-09-26 20:00,2018-09-26 21:00,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,높음,높음,,,,,,,,,
2018-09-26 21:00,2018-09-26 21:30,능동적 여가|TV,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,매우 높음,낮음,높음,,,,,,,,,
2018-09-26 21:40,2018-09-26 22:00,기타,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,예,긍정,매우 높음,낮음,높음,,,,,,,,,
2018-09-26 22:00,2018-09-26 22:12,식사,집,서울시 서대문구 연희동,실내,혼자,간식,많음,야식,예,긍정,매우 높음,낮음,높음,,,,,,,,,
2018-09-26 22:12,2018-09-26 22:40,식사,집,서울시 서대문구 연희동,실내,혼자,간식,많음,야식,아니오,긍정,매우 높음,낮음,높음,,,,,,,,,
