start_time,end_time,activity,place,ㅁ,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-10-10 0:00,2018-10-10 4:30,수면,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-10-10 4:30,2018-10-10 5:00,식사,집,서울시 동대문구 답십리동,실내,혼자,기타|빵,많음,아침,아니오,보통,낮음,낮음,높음
2018-10-10 5:00,2018-10-10 6:00,능동적 여가|조깅,야외,서울시 성동구 용답동,실외,혼자,/,/,/,아니오,긍정,보통,낮음,높음
2018-10-10 6:00,2018-10-10 6:20,능동적 여가|샤워,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,긍정,보통,낮음,높음
2018-10-10 6:20,2018-10-10 6:40,기타|화장,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,보통,보통,낮음,보통
2018-10-10 6:40,2018-10-10 7:30,이동,대중교통|버스,서울시 동대문구 답십리동,실외,혼자,/,/,/,아니오,부정,보통,보통,보통
2018-10-10 7:30,2018-10-10 8:00,업무|인원점검,학교|운동장,서울시 서초구 서초3동,실외,친밀한 관계|1-3 학생들,기타|다과와 커피,적음,간식,아니오,보통,보통,보통,보통
2018-10-10 8:00,2018-10-10 11:30,이동,야외,서울시 서초구 서초3동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,보통,보통,보통
2018-10-10 11:30,2018-10-10 12:00,식사,기타|문경휴게소,경상북도 문경시 유곡동,실내,친밀한 관계|1학년 선생님들,일식|우동,많음,점심,아니오,보통,보통,보통,보통
2018-10-10 12:00,2018-10-10 12:10,휴식,기타|문경휴게소,경상북도 문경시 유곡동,실외,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-10-10 12:10,2018-10-10 12:15,업무|인원점검,기타|문경휴게소,경상북도 문경시 유곡동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,높음,보통,보통
2018-10-10 12:15,2018-10-10 14:00,이동,야외|도로,경상북도 문경시 유곡동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,높음,보통,낮음
2018-10-10 14:00,2018-10-10 14:10,업무|인원점검,야외|신라밀레니엄파크,경상북도 경주시 신평동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,높음,보통,낮음
2018-10-10 14:10,2018-10-10 17:00,업무|견학지도,야외|신라밀레니엄파크,경상북도 경주시 신평동,실외,친밀한 관계|1-3 학생들,/,/,/,예,보통,높음,보통,낮음
2018-10-10 17:00,2018-10-10 17:10,업무|인원점검,야외|신라밀레니엄파크,경상북도 경주시 신평동,실외,친밀한 관계|1-3 학생들,/,/,/,예,보통,높음,보통,낮음
2018-10-10 17:10,2018-10-10 17:40,이동,야외|도로,경상북도 경주시 신평동,실외,친밀한 관계|1-3 학생들,/,/,/,예,보통,높음,보통,낮음
2018-10-10 17:40,2018-10-10 17:50,업무|객실배정,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1학년 선생님들,/,/,/,예,보통,높음,보통,낮음
2018-10-10 17:50,2018-10-10 18:00,업무|사물정리,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,예,보통,높음,보통,낮음
2018-10-10 18:00,2018-10-10 18:20,업무|학생지도,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1-3 학생들,/,/,/,예,보통,높음,보통,낮음
2018-10-10 18:20,2018-10-10 18:50,식사,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1학년 선생님들,한식|제육덮밥,많음,저녁,예,긍정,높음,보통,낮음
2018-10-10 18:50,2018-10-10 19:00,휴식,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,긍정,높음,보통,낮음
2018-10-10 19:00,2018-10-10 19:20,이동,야외|도로,경상북도 경주시 신평동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,긍정,높음,보통,보통
2018-10-10 19:20,2018-10-10 19:40,업무|견학지도,야외|첨성대,경상북도 경주시 인왕동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,높음,낮음,보통
2018-10-10 19:40,2018-10-10 19:50,이동,야외|도로,경상북도 경주시 인왕동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,부정,높음,낮음,보통
2018-10-10 19:50,2018-10-10 20:10,업무|견학지도,야외|안압지,경상북도 경주시 인왕동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,부정,높음,낮음,높음
2018-10-10 20:10,2018-10-10 20:30,이동,야외|도로,경상북도 경주시 인왕동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,높음,낮음,높음
2018-10-10 20:30,2018-10-10 20:40,휴식,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,보통,높음,낮음,높음
2018-10-10 20:40,2018-10-10 21:00,업무|점호,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1-3 학생들,/,/,/,아니오,부정,높음,낮음,높음
2018-10-10 21:00,2018-10-10 21:20,샤워,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,부정,높음,낮음,높음
2018-10-10 21:20,2018-10-10 22:00,업무|회의,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1학년 선생님들,/,/,/,아니오,부정,매우 높음,낮음,높음
2018-10-10 22:00,2018-10-10 23:59,수면,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,부정,매우 높음,낮음,높음
