start_time,end_time,activity,place,서울시 동대문구 답십리동,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-10-12 0:00,2018-10-12 6:30,수면,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-10-12 6:30,2018-10-12 6:40,기타|세면,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,기타|빵,많음,아침,아니오,보통,낮음,낮음,높음
2018-10-12 6:40,2018-10-12 7:00,기타|화장,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,긍정,보통,낮음,높음
2018-10-12 7:00,2018-10-12 7:30,휴식,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,긍정,보통,낮음,높음
2018-10-12 7:30,2018-10-12 8:00,업무|학생지도,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,보통,보통,낮음,보통
2018-10-12 8:00,2018-10-12 8:30,식사,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,/,/,/,아니오,부정,보통,보통,보통
2018-10-12 8:30,2018-10-12 8:40,업무|인원점검,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1-3 학생들,기타|다과와 커피,적음,간식,아니오,보통,보통,보통,보통
2018-10-12 8:40,2018-10-12 9:00,이동,야외|도로,경상북도 경주시 신평동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,보통,보통,보통
2018-10-12 9:00,2018-10-12 9:40,업무|학생지도,야외|무열왕릉,경상북도 경주시 서악동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,보통,보통,보통
2018-10-12 9:40,2018-10-12 10:00,이동,야외|도로,경상북도 경주시 서악동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,보통,보통,보통,보통
2018-10-12 10:00,2018-10-12 10:30,업무|학생지도,야외|포석정,울산광역시 남구 삼산동,실외,친밀한 관계|1-3 학생들,/,/,/,예,보통,높음,보통,보통
2018-10-12 10:30,2018-10-12 11:00,이동,야외|도로,울산광역시 남구 삼산동,실외,친밀한 관계|1-3 학생들,/,/,/,예,보통,높음,보통,낮음
2018-10-12 11:00,2018-10-12 11:30,업무|학생지도,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1-3 학생들,/,/,/,예,보통,높음,보통,낮음
2018-10-12 11:30,2018-10-12 12:00,식사,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1학년 선생님들,/,/,/,예,보통,높음,보통,낮음
