start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity,
2018-11-22 2:00,2018-11-22 11:30,수면,집 ,서울시 강북구 수유동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통,
2018-11-22 11:30,2018-11-22 12:00,식사,집 ,서울시 강북구 수유동,실내,혼자,가정식|계란후라이,적음,점심,아니오,보통,낮음,낮음,보통,
2018-11-22 12:00,2018-11-22 12:10,이동,야외,서울시 강북구 수유동,실외,혼자,/,/,/,아니오,보통,보통,낮음,보통,
2018-11-22 12:10,2018-11-22 13:00,운동,헬스장,서울시 강북구 수유동,실내,혼자,/,/,/,아니오,보통,보통,낮음,보통,
2018-11-22 13:00,2018-11-22 13:20,운동,헬스장,서울시 강북구 수유동,실내,혼자,/,/,/,아니오,부정,높음,낮음,보통,
2018-11-22 13:20,2018-11-22 14:00,이동,대중교통|지하철,서울시 강북구 수유동,실외,혼자,/,/,/,아니오,보통,보통,낮음,보통,
2018-11-22 14:00,2018-11-22 15:00,식사,식당|이디야,서울시 광진구 화양동,실내,친밀한 사람,커피,매우 적음,간식,아니오,긍정,보통,낮음,보통,
2018-11-22 15:00,2018-11-22 16:00,식사,식당|이디야,서울시 광진구 화양동,실내,친밀한 사람,/,/,/,아니오,긍정,보통,낮음,보통,
2018-11-22 16:00,2018-11-22 16:10,이동,야외,서울시 광진구 화양동,실외,친밀한 사람,/,/,/,아니오,긍정,보통,보통,보통,
2018-11-22 16:10,2018-11-22 17:00,능동적 여가|노래부르기,유흥장|노래방,서울시 광진구 화양동,실내,친밀한 사람,/,/,/,아니오,긍정,높음,보통,보통,
2018-11-22 17:00,2018-11-22 17:10,이동,야외,서울시 광진구 화양동,실외,친밀한 사람,/,/,/,예,긍정,보통,보통,보통,
2018-11-22 17:10,2018-11-22 18:00,식사,식당|설빙,서울시 광진구 화양동,실내,친밀한 사람,빙수,적음,간식,예,매우 긍정,보통,보통,보통,
2018-11-22 18:00,2018-11-22 18:15,이동,야외,서울시 광진구 화양동,실외,친밀한 사람,/,/,/,아니오,긍정,보통,보통,보통,
2018-11-22 18:15,2018-11-22 19:00,식사,식당|해룡마라룽샤,서울시 광진구 화양동,실내,친밀한 사람,중식|만두,적음,저녁,아니오,긍정,보통,보통,보통,
2018-11-22 19:00,2018-11-22 19:10,이동,야외,서울시 광진구 화양동,실외,친밀한 사람,/,/,/,아니오,긍정,보통,보통,보통,
2018-11-22 19:10,2018-11-22 20:00,쇼핑,롯대백화점,서울시 광진구 화양동,실내,친밀한 사람,/,/,/,아니오,긍정,보통,보통,보통,
2018-11-22 20:00,2018-11-22 20:10,이동,야외,서울시 광진구 화양동,실외,친밀한 사람,/,/,/,아니오,긍정,보통,보통,보통,
2018-11-22 20:10,2018-11-22 21:00,식사,술집|조선주막,서울시 광진구 화양동,실내,친밀한 사람,술|막걸리,적음,야식,아니오,긍정,보통,보통,보통,
2018-11-22 21:00,2018-11-22 21:30,식사,술집|조선주막,서울시 광진구 화양동,실내,친밀한 사람,안주|해물파전,적음,야식,아니오,매우 긍정,보통,보통,보통,
2018-11-22 21:30,2018-11-22 21:40,이동,야외,서울시 광진구 화양동,실외,친밀한 사람,/,/,/,아니오,매우 긍정,보통,보통,보통,
2018-11-22 21:40,2018-11-22 22:00,식사,술집|비랩,서울시 광진구 화양동,실내,친밀한 사람,술|보드카,적음 ,야식,아니오,매우 긍정,높음,보통,보통,
2018-11-22 22:00,2018-11-22 22:40,식사,술집|비랩,서울시 광진구 화양동,실내,친밀한 사람,안주|나쵸,적음 ,야식,아니오,긍정,높음,보통,높음,
2018-11-22 22:40,2018-11-22 22:50,이동,야외,서울시 광진구 화양동,실외,친밀한 사람,/,/,/,아니오,긍정,보통,보통,높음,
2018-11-22 22:50,2018-11-22 23:00,능동적 여가|노래부르기,유흥장|노래방,서울시 광진구 화양동,실내,친밀한 사람,/,/,/,아니오,긍정,보통,보통,높음,
2018-11-22 23:00,2018-11-23 0:00,능동적 여가|노래부르기,유흥장|노래방,서울시 광진구 화양동,실내,친밀한 사람,/,/,/,아니오,매우 긍정,높음,보통,높음,
2018-11-23 0:00,2018-11-23 0:10,이동,야외,서울시 광진구 화양동,실외,친밀한 사람,/,/,/,아니오,매우 긍정,높음,낮음,높음,
2018-11-23 0:10,2018-11-23 1:00,능동적 여가|볼링,유흥장|볼링장,서울시 광진구 화양동,실내,친밀한 사람,/,/,/,아니오,매우 긍정,높음,낮음,높음,
2018-11-23 1:00,2018-11-23 2:00,이동,대중교통|지하철,서울시 강북구 수유동,실외,혼자,/,/,/,아니오,긍정,높음,낮음,높음,
2018-11-23 2:00,2018-11-23 2:20,수동적 여가|TV 보기,집 ,서울시 강북구 수유동,실내,혼자,/,/,/,아니오,보통,보통,낮음,높음,
2018-11-23 2:20,2018-11-23 2:30,수동적 여가|웹서핑,집 ,서울시 강북구 수유동,실내,혼자,/,/,/,아니오,보통,보통,낮음,높음,
