start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-08-17 0:00,2017-08-17 0:10,집,신촌,세면,흐림,보통,피곤함,보통,/,/,/,/
2017-08-17 0:10,2017-08-17 0:50,집,신촌,SNS,흐림,보통,피곤함,느림,/,/,/,/
2017-08-17 0:50,2017-08-17 7:00,집,신촌,수면,흐림,보통,/,느림,/,/,/,/
2017-08-17 7:00,2017-08-17 7:30,집,신촌,샤워,흐림,보통,기분나쁨,빠름,/,/,/,/
2017-08-17 7:30,2017-08-17 7:40,집,신촌,옷입기,흐림,보통,기분좋음,평균,/,/,/,/
2017-08-17 7:40,2017-08-17 7:50,신촌거리,신촌,걷기,흐림,보통,기분좋음,빠름,/,/,/,/
2017-08-17 7:50,2017-08-17 8:55,강의실,신촌,공부,흐림,보통,/,보통,/,/,/,/
2017-08-17 8:55,2017-08-17 9:00,강의실,신촌,출석,흐림,보통,기분나쁨,빠름,/,/,/,/
2017-08-17 9:00,2017-08-17 9:50,강의실,신촌,수업,흐림,보통,피곤함,느림,/,/,/,/
2017-08-17 9:50,2017-08-17 10:00,한울샘,신촌,커피구매,흐림,보통,보통,보통,/,/,/,/
2017-08-17 10:00,2017-08-17 10:50,강의실,신촌,수업,맑음,보통,보통,보통,/,/,/,/
2017-08-17 10:50,2017-08-17 11:00,캠퍼스,신촌,걷기,맑음,보통,지루함,보통,/,/,/,/
2017-08-17 11:00,2017-08-17 13:00,도서관,신촌,인터넷강의,흐림,보통,보통,보통,/,/,/,/
2017-08-17 13:00,2017-08-17 13:10,캠퍼스,신촌,걷기,흐림,보통,배고픔,빠름,/,/,/,/
2017-08-17 13:10,2017-08-17 13:15,고를샘,신촌,음식주문,흐림,보통,배고픔,빠름,/,/,/,/
2017-08-17 13:15,2017-08-17 14:00,고를샘,신촌,점심식사,맑음,보통,기분좋음,보통,/,/,/,/
2017-08-17 14:00,2017-08-17 14:30,캠퍼스,신촌,걷기,맑음,보통,피곤함,빠름,/,/,/,/
2017-08-17 14:30,2017-08-17 14:50,한울샘,신촌,영상통화,맑음,보통,기분좋음,빠름,/,/,사나,/
2017-08-17 14:50,2017-08-17 15:00,강의실,신촌,출석,맑음,보통,보통,보통,/,/,/,/
2017-08-17 15:00,2017-08-17 15:50,강의실,신촌,수업,맑음,보통,피곤함,느림,/,/,/,/
2017-08-17 15:50,2017-08-17 16:00,강의실,신촌,수면,맑음,보통,/,느림,/,/,/,/
2017-08-17 16:00,2017-08-17 16:50,강의실,신촌,수업,맑음,보통,피곤함,보통,/,/,/,/
2017-08-17 16:50,2017-08-17 17:00,캠퍼스,신촌,걷기,맑음,보통,기분좋음,빠름,/,/,사나,/
2017-08-17 17:00,2017-08-17 19:00,헬스장,신촌,운동,맑음,보통,힘듬,빠름,/,/,/,/
2017-08-17 19:00,2017-08-17 19:30,신촌거리,신촌,걷기,맑음,보통,기분좋음,빠름,/,/,사나,/
2017-08-17 19:30,2017-08-17 20:00,집,신촌,요리,맑음,보통,배고픔,빠름,/,/,/,/
2017-08-17 20:00,2017-08-17 20:30,집,신촌,저녁식사,맑음,보통,기분좋음,빠름,/,/,/,/
2017-08-17 20:30,2017-08-17 22:00,집,신촌,영상통화,맑음,보통,기분좋음,빠름,/,/,사나,/
2017-08-17 22:00,2017-08-17 22:10,신촌거리,신촌,걷기,맑음,보통,보통,보통,/,/,/,/
2017-08-17 22:10,2017-08-17 22:20,편의점,신촌,맥주 구입,맑음,보통,보통,보통,/,/,/,/
2017-08-17 22:20,2017-08-17 22:30,신촌거리,신촌,걷기,맑음,보통,기분좋음,보통,/,/,/,/
2017-08-17 22:30,2017-08-17 0:00,집,신촌,영화관람,맑음,낮음,/,느림,/,/,/,/
