start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity,
2018-05-01 0:00,2018-05-01 11:00,수면,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,부정,높음,매우 낮음,낮음,
2018-05-01 11:00,2018-05-01 11:05,기타|식사준비,집|부엌,성남시 분당구 야탑동,실내,혼자,/,/,/,예,부정,높음,낮음,낮음,
2018-05-01 11:05,2018-05-01 11:13,식사,집|부엌,성남시 분당구 야탑동,실내,혼자,기타|간편식,적음,점심,예,부정,높음,낮음,보통,
2018-05-01 11:13,2018-05-01 11:30,기타|샤워,집|화장실,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,매우 높음,
2018-05-01 11:30,2018-05-01 11:35,기타|로션,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통,
2018-05-01 11:35,2018-05-01 11:55,샤교|SNS,집|거실,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,낮음,보통,낮음,
2018-05-01 11:55,2018-05-01 11:56,식사,집|부엌,성남시 분당구 야탑동,실내,혼자,기타|물,적음,기타,아니오,보통,매우 낮음,낮음,보통,
2018-05-01 11:56,2018-05-01 12:05,기타|레슨준비,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통,
2018-05-01 12:05,2018-05-01 12:58,업무|레슨,집|방,성남시 분당구 야탑동,실내,데면한 관계,/,/,/,아니오,긍정,매우 낮음,낮음,낮음,
2018-05-01 12:58,2018-05-01 13:08,능동적 여가|담배,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통,
2018-05-01 13:08,2018-05-01 14:02,업무|레슨,집|방,성남시 분당구 야탑동,실내,데면한 관계,/,/,/,아니오,긍정,매우 낮음,낮음,낮음,
2018-05-01 14:04,2018-05-01 14:05,기타|소변,집|화장실,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,매우 낮음,낮음,높음,
2018-05-01 14:05,2018-05-01 14:15,능동적 여가|담배,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통,
2018-05-01 14:05,2018-04-01 15:00,업무|레슨,집|방,성남시 분당구 야탑동,실내,데면한 관계,/,/,/,아니오,긍정,매우 낮음,매우 낮음,낮음,
2018-05-01 15:00,2018-05-01 15:10,능동적 여가|담배,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,매우 낮음,보통,보통,
2018-05-01 15:10,2018-05-01 16:05,업무|레슨,집|방,성남시 분당구 야탑동,실내,데면한 관계,/,/,/,아니오,보통,매우 낮음,매우 낮음,낮음,
2018-05-01 16:05,2018-05-01 16:30,사교|SNS,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,매우 낮음,낮음,낮음,
2018-05-01 16:30,2018-05-01 16:35,식사,집|거실,성남시 분당구 야탑동,실내,혼자,기타,매우 적음,간식,예,긍정,매우 낮음,낮음,낮음,
2018-05-01 16:35,2018-05-01 16:40,기타|양치,집|화장실,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,부정,높음,낮음,보통,
